Reference,Qty,MPN,LCSC,Value/Description,Package,Population,Notes
U1,1,STM32C092GCU7,,MCU with FDCAN,UFQFPN-28,POP,
U2,1,TCA9548APWR,C130026,8-channel I2C mux,TSSOP-24,POP,address 0x70
U3,1,TCAN3413DR,C22433320,3.3V CAN-FD transceiver,SOIC-8,POP,VCC=VIO=3V3
U4 U5,2,LMR51610YDBVR,C22427220,1A 65V synchronous buck,SOT-23-6,POP,3V3 and 12V rails
LED1,1,WS2812B-MINI-V6,C52941386,3.3V addressable RGB LED,SMD3535-4P,POP,no level shifter required
Q1,1,AO3407A,C15155,P-channel MOSFET,SOT-23,POP,3-wire fan high-side supply-PWM switch
Q2,1,"2N7002,215",C65189,N-channel MOSFET,SOT-23,POP,fan open-drain / PMOS gate drive
D1,1,PESD2CANFD27V-TR,C552488,CAN-FD TVS,SOT-23,POP,place at CAN connector
L1 L2,2,SRN6045TA-150M,C1330797,15uH power inductor,6x6mm,POP,common part for both bucks
L3,1,ACT1210D-101-2P-TL00,C3039743,CAN/CAN-FD common-mode choke,ACT1210,POP,
C1-C4 C6 C7 C10 C11 C16 C19,10,CC0603KRX7R0BB104,C113803,100nF 100V X7R,0603,POP,universal bypass/bootstrap/reset
C5 C9 C17 C18,4,C1206X225K101T,C106051,2.2uF 100V X7R,1206,POP,buck/local VIN ceramics
C8 C12-C15,5,CL21A226MAYNNNE,C602037,22uF 25V X5R,0805,POP,rail output/local bulk
R1 R2 R15 R16,4,RC0603FR-074K7L,C99782,4.7k 1%,0603,POP,I2C/reset/tach pullups
R17 R19 R21 R22,4,RC0603FR-0722K1L,C137768,22.1k 1%,0603,POP,buck FB bottoms + fan gate pulls
R18,1,RC0603FR-0769K8L,C137689,69.8k 1%,0603,POP,3.3V buck FB top
R20,1,RC0603FR-07309KL,C273754,309k 1%,0603,POP,12V buck FB top
R24 R25,2,RC0603FR-07120RL,C114640,120 ohm 1%,0603,POP,CAN termination + LED series
J1,1,TBD,,GND/VIN input connector,TBD,TBD,
J2,1,TBD,,GND/CANL/CANH connector,TBD,TBD,
J11,1,TBD,,2x7 backplane mate,1.00mm SMD socket,POP,mates with backplane J8 pin header
J9,1,TBD,,3-position PC-fan connector,Connector:FanPinHeader_1x03_P2.54mm_Vertical,POP,fixed 3-wire pinout: GND / switched 12V / tach
J10,1,TBD,,SWD connector/pads,TBD,TBD,
SJ1,1,PCB feature,,CAN termination jumper,PCB copper,OPEN default,
D2,1,TBD,,VIN TVS,TBD,DNP,select after final supply tolerance known
C20,1,TBD,,10-47uF >=63/100V input bulk,TBD,DNP,footprint only until power source fixed
