Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C7, C8",1210,4,2.2uF 100V,C55151
"C10, C11, C14, C4",0805,4,22uF 25V,C45783
C12,0603,1,3.3nF 50V X7R,C92203
C13,0603,1,56pF 50V C0G,C1676
"C15, C16, C17, C19, C20, C21",0603,6,100nF,C14663
C18,0603,1,4.7uF,C19666
"C3, C5, C9",0603,3,2.2nF 50V,C1604
C6,0603,1,220pF C0G,C106210
D1,SOT-23,1,PESD2CANFD27V-TR,C552488
J8,DORABO_DB910-6.35-2P-GN-S,1,DC IN,C395872
"L1, L2",L_PRODTech_PSPMAA0805,2,100uH,C2962892
L3,L_CommonModeChoke_TDK_ACT1210D,1,ACT1210D-101-2P-TL00,C3039743
LED1,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020-V6,C52917434
"Q1, Q3",SOT-23,2,AO3407A,C15155
"Q2, Q4",SOT-23,2,2N7002,C8545
R1,0603,1,27k 1%,C22967
"R10, R15, R20, R23",0603,4,10k,C25804
"R11, R12",0603,2,10R,C22859
"R13, R14",0603,2,2.2k,C4190
R17,0603,1,120R 1%,C22787
"R18, R19, R21, R22, R6",0603,5,100k 1%,C25803
"R2, R4",0603,2,110k 1%,C25805
R24,0603,1,4.7k 1%,C23162
R3,0603,1,62k 1%,C23221
"R7, R9",0603,2,453k 1%,C25818
R8,0603,1,49.9k 1%,C23184
RSH1,2512,1,1mR 1% 6W,C19270875
U1,QFN-28_4x4mm_P0.5mm,1,STM32C092GCU6,C44847705
"U2, U3",TI_SO-PowerPAD-8,2,LM5164DDAR,C477928
U4,MSOP-10_3x3mm_P0.5mm_0.20mm_Clearance,1,INA237AIDGSR,C2864837
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN3413DR,C22433320
