Designator,Mid X,Mid Y,Rotation,Layer
C1,54.210000,-74.430000,270.000000,bottom
C2,57.470000,-74.430000,270.000000,bottom
C3,68.131250,-75.470000,270.000000,bottom
C4,82.460000,-75.250000,270.000000,bottom
C5,68.985000,-69.975000,0.000000,bottom
C6,68.985000,-73.113333,180.000000,bottom
C7,92.210000,-74.430000,270.000000,bottom
C8,95.470000,-74.430000,270.000000,bottom
C9,106.131250,-75.470000,270.000000,bottom
C10,120.460000,-75.280000,270.000000,bottom
C11,122.670000,-75.280000,270.000000,bottom
C12,106.985000,-69.975000,0.000000,bottom
C13,106.985000,-73.113333,180.000000,bottom
C14,84.670000,-75.250000,270.000000,bottom
C15,47.644349,-71.254645,0.000000,bottom
C16,45.099417,-73.896952,90.000000,bottom
C17,153.649662,-56.725000,180.000000,bottom
C18,153.649662,-55.122704,180.000000,bottom
C19,151.319662,-55.877704,270.000000,bottom
C20,51.580986,-54.058851,180.000000,bottom
C21,139.194603,-51.338676,270.000000,bottom
D1,45.975386,-51.612989,0.000000,bottom
J8,35.040000,-63.630000,270.000000,bottom
L1,76.040000,-72.700000,0.000000,bottom
L2,114.040000,-72.700000,0.000000,bottom
L3,50.860986,-51.612989,180.000000,bottom
LED1,141.666016,-51.108676,180.000000,bottom
Q1,172.707500,-56.160000,0.000000,bottom
Q2,171.770000,-59.830000,90.000000,bottom
Q3,172.707500,-68.060000,0.000000,bottom
Q4,171.770000,-71.750000,90.000000,bottom
R1,60.737500,-70.440000,0.000000,bottom
R2,68.985000,-71.544167,180.000000,bottom
R3,65.777500,-70.440000,180.000000,bottom
R4,69.735000,-75.470000,90.000000,bottom
R6,98.737500,-70.440000,0.000000,bottom
R7,106.985000,-71.544167,180.000000,bottom
R8,103.777500,-70.440000,180.000000,bottom
R9,107.735000,-75.470000,90.000000,bottom
R10,124.600000,-75.060000,270.000000,bottom
R11,44.585513,-71.254645,0.000000,bottom
R12,50.703184,-71.254645,180.000000,bottom
R13,41.526678,-72.956790,180.000000,bottom
R14,41.526678,-74.608934,180.000000,bottom
R15,41.526678,-71.254645,180.000000,bottom
R17,163.091878,-54.131320,270.000000,bottom
R18,169.900000,-56.160000,270.000000,bottom
R19,171.770000,-62.637500,180.000000,bottom
R20,157.221143,-55.975000,90.000000,bottom
R21,169.830000,-68.060000,270.000000,bottom
R22,171.890000,-74.710000,180.000000,bottom
R23,159.283111,-55.975000,90.000000,bottom
R24,170.525000,-51.370000,0.000000,bottom
RSH1,47.552500,-66.950000,0.000000,bottom
U1,152.944727,-50.921176,90.000000,bottom
U2,63.257500,-74.085000,0.000000,bottom
U3,101.257500,-74.085000,0.000000,bottom
U4,49.070999,-73.853231,180.000000,bottom
U5,56.996034,-51.687989,180.000000,bottom
