Designator,Mid X,Mid Y,Rotation,Layer
C1,156.590000,-74.430000,270.000000,top
C2,153.330000,-74.430000,270.000000,top
C3,142.668750,-75.470000,270.000000,top
C4,128.340000,-75.250000,270.000000,top
C5,141.815000,-69.975000,180.000000,top
C6,141.815000,-73.113333,0.000000,top
C7,118.259552,-74.409047,270.000000,top
C8,114.999552,-74.409047,270.000000,top
C9,104.338302,-75.449047,270.000000,top
C10,90.009552,-75.229047,270.000000,top
C11,87.799552,-75.229047,270.000000,top
C12,103.484552,-69.954047,180.000000,top
C13,103.484552,-73.092380,0.000000,top
C14,126.130000,-75.250000,270.000000,top
C15,163.155651,-71.254645,180.000000,top
C16,165.700583,-73.896952,90.000000,top
C17,57.150338,-56.725000,0.000000,top
C18,57.150338,-55.122704,0.000000,top
C19,59.480338,-55.877704,270.000000,top
C20,159.219014,-54.058851,0.000000,top
C21,73.524136,-50.592021,0.000000,top
C22,149.193351,-51.612989,90.000000,top
D1,164.824614,-51.612989,180.000000,top
L1,134.760000,-72.700000,180.000000,top
L2,96.429552,-72.679047,180.000000,top
L3,159.939014,-51.612989,0.000000,top
LED1,72.928519,-47.962191,0.000000,top
Q1,38.092500,-56.160000,180.000000,top
Q2,39.030000,-59.830000,90.000000,top
Q3,38.092500,-68.060000,180.000000,top
Q4,39.030000,-71.750000,90.000000,top
R1,150.062500,-70.440000,180.000000,top
R2,141.815000,-71.544167,0.000000,top
R3,145.022500,-70.440000,0.000000,top
R4,141.065000,-75.470000,90.000000,top
R6,111.732052,-70.419047,180.000000,top
R7,103.484552,-71.523214,0.000000,top
R8,106.692052,-70.419047,0.000000,top
R9,102.734552,-75.449047,90.000000,top
R10,124.283287,-75.030000,270.000000,top
R11,166.214487,-71.254645,180.000000,top
R12,160.096816,-71.254645,0.000000,top
R13,169.273322,-72.956790,0.000000,top
R14,169.273322,-74.608934,0.000000,top
R15,169.273322,-71.254645,0.000000,top
R17,47.708122,-54.131320,270.000000,top
R18,40.900000,-56.160000,270.000000,top
R19,39.030000,-62.637500,0.000000,top
R20,53.578857,-55.975000,90.000000,top
R21,40.970000,-68.060000,270.000000,top
R22,38.910000,-74.710000,0.000000,top
R23,51.516889,-55.975000,90.000000,top
R24,40.275000,-51.370000,180.000000,top
RSH1,163.247500,-66.950000,180.000000,top
U1,57.855273,-50.921176,90.000000,top
U2,147.542500,-74.085000,180.000000,top
U3,109.212052,-74.064047,180.000000,top
U4,161.729001,-73.853231,0.000000,top
U5,153.803966,-51.687989,0.000000,top
