Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,1uF 100V,C13832
"C10, C11, C12, C14, C17, C18, C9",0603,7,100nF,C14663
C13,0603,1,4.7uF,C19666
"C15, C16",0603,2,100nF 100V,C113803
C2,0603,1,680nF,C24797
"C3, C4",1210,2,2.2uF 100V,C55151
C5,0603,1,2.2nF 50V,C1604
C6,0603,1,2.2nF,C33353
C7,0603,1,220pF,C106210
C8,0805,1,22uF 25V,C45783
D1,D_SMC,1,SMCJ48A,C5861043
D2,SOT-23,1,PESD2CANFD27V-TR,C552488
J1,Amass_XT30PW_2plus2_M_RightAngle_THT,1,XT30PW(2+2),C19268030
J2,PinHeader_1x05_P2.54mm_Vertical,1,~,C32713271
L1,L_Sunlord_SWPA8040S,1,68μH,C36418
L3,L_CommonModeChoke_TDK_ACT1210D,1,ACT1210D-101-2P-TL00,C3039743
LED1,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020-V6,C52917434
Q1,TO-263-3_TabPin2,1,IPB020N10N5LF,C536484
"Q2, Q3",SOT-23,2,2N7002,C8545
R1,2512,1,6mR 1% 3W,C2985709
"R10, R31",0603,2,100k,C25803
"R11, R16, R19, R28, R30",0603,5,10k,C25804
R12,0603,1,27.4k 1%,C22964
"R13, R15, R4, R6, R8",0603,5,110k 1%,C25805
R14,0603,1,62k 1%,C23221
"R17, R18",0603,2,10R,C22859
"R2, R32",0603,2,100R,C22775
"R24, R25",0603,2,2.2k,C4190
R26,0603,1,120R 1%,C22787
"R3, R9",0603,2,36k 1%,C23147
R5,0603,1,18k 1%,C25810
R7,0603,1,5.1k 1%,C23186
SW1,SW_ALPS_SKSCLCE010_SidePush,1,SKSCLCE010,C139799
TP17,TestPoint_Pad_D1.5mm,1,CAN_BUS_N,PCB test point
TP18,TestPoint_Pad_D1.5mm,1,CAN_BUS_P,PCB test point
TP19,TestPoint_Pad_D1.5mm,1,VCC,PCB test point
TP20,TestPoint_Pad_D1.5mm,1,PD_VIN_SW,PCB test point
TP21,TestPoint_Pad_D1.5mm,1,Q1_GATE,PCB test point
TP22,TestPoint_Pad_D1.5mm,1,PD_ENABLE,PCB test point
TP23,TestPoint_Pad_D1.5mm,1,PD_PGOOD,PCB test point
TP24,TestPoint_Pad_D1.5mm,1,PD_I2C_SCL,PCB test point
TP25,TestPoint_Pad_D1.5mm,1,PD_I2C_SDA,PCB test point
TP26,TestPoint_Pad_D1.5mm,1,KILL_GATE,PCB test point
TP27,TestPoint_Pad_D1.5mm,1,BUCK_PGOOD,PCB test point
TP5,TestPoint_Pad_D1.0mm,1,GND,
TP6,TestPoint_Pad_D1.5mm,1,CAN_RX,PCB test point
TP7,TestPoint_Pad_D1.5mm,1,CAN_TX,PCB test point
U1,QFN-28_4x4mm_P0.5mm,1,STM32C092GCU6,C44847705
U2,TI_SO-PowerPAD-8,1,LM5163DDAR,C2873264
U3,MSOP-10_3x3mm_P0.5mm_0.20mm_Clearance,1,LMX5069MS,C47967145
U4,TSSOP-10_3x3mm_P0.5mm,1,INA237AIDGSR,C2864837
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN3413DR,C22433320
