Designator,Mid X,Mid Y,Rotation,Layer
C1,122.505,-117.91,180.0,top
C10,126.71,-111.43,270.0,top
C11,196.43,-104.43,180.0,top
C12,195.68,-102.02,270.0,top
C13,197.38,-102.02,270.0,top
C14,195.89,-124.695,270.0,top
C15,128.215,-103.515,270.0,top
C16,121.47,-99.96,0.0,top
C17,195.115,-116.99,180.0,top
C18,129.35,-107.78,0.0,top
C2,122.45,-124.015,90.0,top
C3,136.57,-110.58,180.0,top
C4,136.57,-107.32,180.0,top
C5,140.44,-102.975,180.0,top
C6,143.52,-101.4,0.0,top
C7,143.52,-102.975,0.0,top
C8,140.22,-98.835,270.0,top
C9,130.421766,-106.123054,0.0,top
D1,118.64,-111.79,270.0,top
D2,114.3225,-117.98,0.0,top
L1,133.916766,-101.066882,180.0,top
L3,117.16,-103.6575,0.0,top
LED1,199.34,-106.06,270.0,top
Q1,133.73,-119.585,90.0,top
Q2,117.9675,-123.01,90.0,top
Q3,117.9675,-128.33,180.0,top
R1,123.98,-111.3775,270.0,top
R10,120.865,-128.33,90.0,top
R11,195.115,-111.31,180.0,top
R12,145.85,-110.42,90.0,top
R13,145.85,-102.15,270.0,top
R14,145.85,-105.38,270.0,top
R15,140.44,-101.4,0.0,top
R16,144.295,-98.835,90.0,top
R17,126.71,-108.245,90.0,top
R18,126.71,-114.635,90.0,top
R19,132.45,-107.78,0.0,top
R2,126.34,-128.33,270.0,top
R24,195.115,-113.28,180.0,top
R25,195.115,-109.34,180.0,top
R26,115.07,-100.25,270.0,top
R28,199.08,-102.02,270.0,top
R3,124.6,-128.33,270.0,top
R30,195.115,-115.25,180.0,top
R31,195.89,-119.37,270.0,top
R32,197.205,-106.84,270.0,top
R4,118.84,-119.41,270.0,top
R5,120.865,-124.015,270.0,top
R6,121.465,-119.91,0.0,top
R7,121.465,-121.49,0.0,top
R8,117.14,-119.41,270.0,top
R9,117.9675,-125.785,0.0,top
U1,190.8275,-102.44,180.0,top
U2,142.3,-107.9,90.0,top
U3,125.5625,-122.58,270.0,top
U4,130.8,-110.33,180.0,top
U5,123.69,-103.5825,180.0,top
