Designator,Footprint,Quantity,Value,LCSC Part #
"CARRIER1-R2, CARRIER1-R32, CARRIER2-R2, CARRIER2-R32, CARRIER3-R2, CARRIER3-R32, CARRIER4-R2, CARRIER4-R32, CARRIER5-R2, CARRIER5-R32, CARRIER6-R2, CARRIER6-R32",0603,12,100R,C22775
"BACKPLANE1-R16, BACKPLANE1-R17, BACKPLANE1-R26, BACKPLANE1-R27, BACKPLANE1-R34, BACKPLANE1-R35",0603,6,100k,C14675
"CARRIER1-R10, CARRIER1-R31, CARRIER2-R10, CARRIER2-R31, CARRIER3-R10, CARRIER3-R31, CARRIER4-R10, CARRIER4-R31, CARRIER5-R10, CARRIER5-R31, CARRIER6-R10, CARRIER6-R31",0603,12,100k,C25803
"BACKPLANE1-C2, CARRIER1-C10, CARRIER1-C11, CARRIER1-C12, CARRIER1-C14, CARRIER1-C15, CARRIER1-C16, CARRIER1-C17, CARRIER1-C18, CARRIER1-C9, CARRIER2-C10, CARRIER2-C11, CARRIER2-C12, CARRIER2-C14, CARRIER2-C15, CARRIER2-C16, CARRIER2-C17, CARRIER2-C18, CARRIER2-C9, CARRIER3-C10, CARRIER3-C11, CARRIER3-C12, CARRIER3-C14, CARRIER3-C15, CARRIER3-C16, CARRIER3-C17, CARRIER3-C18, CARRIER3-C9, CARRIER4-C10, CARRIER4-C11, CARRIER4-C12, CARRIER4-C14, CARRIER4-C15, CARRIER4-C16, CARRIER4-C17, CARRIER4-C18, CARRIER4-C9, CARRIER5-C10, CARRIER5-C11, CARRIER5-C12, CARRIER5-C14, CARRIER5-C15, CARRIER5-C16, CARRIER5-C17, CARRIER5-C18, CARRIER5-C9, CARRIER6-C10, CARRIER6-C11, CARRIER6-C12, CARRIER6-C14, CARRIER6-C15, CARRIER6-C16, CARRIER6-C17, CARRIER6-C18, CARRIER6-C9",0603,55,100nF,C14663
BACKPLANE1-C1,0603,1,100nF 100V,C113803
"CARRIER1-R17, CARRIER1-R18, CARRIER2-R17, CARRIER2-R18, CARRIER3-R17, CARRIER3-R18, CARRIER4-R17, CARRIER4-R18, CARRIER5-R17, CARRIER5-R18, CARRIER6-R17, CARRIER6-R18",0603,12,10R,C22859
"BACKPLANE1-R18, BACKPLANE1-R19, BACKPLANE1-R28, BACKPLANE1-R29, BACKPLANE1-R36, BACKPLANE1-R37, CARRIER1-R11, CARRIER1-R16, CARRIER1-R19, CARRIER1-R28, CARRIER1-R30, CARRIER2-R11, CARRIER2-R16, CARRIER2-R19, CARRIER2-R28, CARRIER2-R30, CARRIER3-R11, CARRIER3-R16, CARRIER3-R19, CARRIER3-R28, CARRIER3-R30, CARRIER4-R11, CARRIER4-R16, CARRIER4-R19, CARRIER4-R28, CARRIER4-R30, CARRIER5-R11, CARRIER5-R16, CARRIER5-R19, CARRIER5-R28, CARRIER5-R30, CARRIER6-R11, CARRIER6-R16, CARRIER6-R19, CARRIER6-R28, CARRIER6-R30",0603,36,10k,C25804
"CARRIER1-R13, CARRIER1-R15, CARRIER1-R4, CARRIER1-R6, CARRIER1-R8, CARRIER2-R13, CARRIER2-R15, CARRIER2-R4, CARRIER2-R6, CARRIER2-R8, CARRIER3-R13, CARRIER3-R15, CARRIER3-R4, CARRIER3-R6, CARRIER3-R8, CARRIER4-R13, CARRIER4-R15, CARRIER4-R4, CARRIER4-R6, CARRIER4-R8, CARRIER5-R13, CARRIER5-R15, CARRIER5-R4, CARRIER5-R6, CARRIER5-R8, CARRIER6-R13, CARRIER6-R15, CARRIER6-R4, CARRIER6-R6, CARRIER6-R8",0603,30,110k 1%,C25805
"CARRIER1-R26, CARRIER2-R26, CARRIER3-R26, CARRIER4-R26, CARRIER5-R26, CARRIER6-R26",0603,6,120R 1%,C22787
"CARRIER1-R5, CARRIER2-R5, CARRIER3-R5, CARRIER4-R5, CARRIER5-R5, CARRIER6-R5",0603,6,18k 1%,C25810
"BACKPLANE1-R14, BACKPLANE1-R15, BACKPLANE1-R24, BACKPLANE1-R25, BACKPLANE1-R32, BACKPLANE1-R33",0603,6,1k,C22548
"CARRIER1-R24, CARRIER1-R25, CARRIER2-R24, CARRIER2-R25, CARRIER3-R24, CARRIER3-R25, CARRIER4-R24, CARRIER4-R25, CARRIER5-R24, CARRIER5-R25, CARRIER6-R24, CARRIER6-R25",0603,12,2.2k,C4190
"CARRIER1-C5, CARRIER1-C6, CARRIER2-C5, CARRIER2-C6, CARRIER3-C5, CARRIER3-C6, CARRIER4-C5, CARRIER4-C6, CARRIER5-C5, CARRIER5-C6, CARRIER6-C5, CARRIER6-C6",0603,12,2.2nF 50V,C1604
"CARRIER1-C7, CARRIER2-C7, CARRIER3-C7, CARRIER4-C7, CARRIER5-C7, CARRIER6-C7",0603,6,220pF,C106210
"CARRIER1-R12, CARRIER2-R12, CARRIER3-R12, CARRIER4-R12, CARRIER5-R12, CARRIER6-R12",0603,6,27k 1%,C22967
"CARRIER1-R3, CARRIER1-R9, CARRIER2-R3, CARRIER2-R9, CARRIER3-R3, CARRIER3-R9, CARRIER4-R3, CARRIER4-R9, CARRIER5-R3, CARRIER5-R9, CARRIER6-R3, CARRIER6-R9",0603,12,36k 1%,C23147
"BACKPLANE1-R1, BACKPLANE1-R10, BACKPLANE1-R11, BACKPLANE1-R12, BACKPLANE1-R13, BACKPLANE1-R2, BACKPLANE1-R22, BACKPLANE1-R23, BACKPLANE1-R3, BACKPLANE1-R4, BACKPLANE1-R5, BACKPLANE1-R6, BACKPLANE1-R7, BACKPLANE1-R8, BACKPLANE1-R9",0603,15,4.7k 1%,C99782
"CARRIER1-C13, CARRIER2-C13, CARRIER3-C13, CARRIER4-C13, CARRIER5-C13, CARRIER6-C13",0603,6,4.7uF,C19666
"CARRIER1-R7, CARRIER2-R7, CARRIER3-R7, CARRIER4-R7, CARRIER5-R7, CARRIER6-R7",0603,6,5.1k 1%,C23186
"CARRIER1-R14, CARRIER2-R14, CARRIER3-R14, CARRIER4-R14, CARRIER5-R14, CARRIER6-R14",0603,6,62k 1%,C23221
"CARRIER1-C2, CARRIER2-C2, CARRIER3-C2, CARRIER4-C2, CARRIER5-C2, CARRIER6-C2",0603,6,680nF,C24797
"CARRIER1-C8, CARRIER2-C8, CARRIER3-C8, CARRIER4-C8, CARRIER5-C8, CARRIER6-C8",0805,6,22uF 25V,C45783
"BACKPLANE1-R20, BACKPLANE1-R21, BACKPLANE1-R30, BACKPLANE1-R31, BACKPLANE1-R38, BACKPLANE1-R39",1206,6,10k,C17902
"CARRIER1-C1, CARRIER2-C1, CARRIER3-C1, CARRIER4-C1, CARRIER5-C1, CARRIER6-C1",1206,6,1uF 100V,C13832
"CARRIER1-C3, CARRIER1-C4, CARRIER2-C3, CARRIER2-C4, CARRIER3-C3, CARRIER3-C4, CARRIER4-C3, CARRIER4-C4, CARRIER5-C3, CARRIER5-C4, CARRIER6-C3, CARRIER6-C4",1210,12,2.2uF 100V,C55151
"CARRIER1-R1, CARRIER2-R1, CARRIER3-R1, CARRIER4-R1, CARRIER5-R1, CARRIER6-R1",2512,6,6mR 1% 3W,C2985709
