Item #,Designator,Qty,Manufacturer,Manufacturer Part Number,Description,Package / Footprint,Value,LCSC Part #,Customer Notes
1,"BACKPLANE1-Q1, BACKPLANE1-Q3",2,Alpha & Omega Semiconductor,AO3407A,"P-MOSFET transistor, gate/source/drain",SOT-23,AO3407A,C15155,
2,BACKPLANE1-J8,1,DORABO,DB910-6.35-2P-GN-S,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",DORABO_DB910-6.35-2P-GN-S,DC IN,C395872,
3,"BACKPLANE1-C3, BACKPLANE1-C5, BACKPLANE1-C9",3,FH (Guangdong Fenghua Advanced Tech),0603B222K500NT,,0603,2.2nF 50V,C1604,
4,"CARRIER1-C5, CARRIER1-C6, CARRIER2-C5, CARRIER2-C6, CARRIER3-C5, CARRIER3-C6, CARRIER4-C5, CARRIER4-C6, CARRIER5-C5, CARRIER5-C6, CARRIER6-C5, CARRIER6-C6",12,FH (Guangdong Fenghua Advanced Tech),0603B222K500NT,Unpolarized capacitor,0603,2.2nF 50V,C1604,
5,BACKPLANE1-C12,1,FH (Guangdong Fenghua Advanced Tech),0603B332K500NT,,0603,3.3nF 50V X7R,C92203,
6,"CARRIER1-C2, CARRIER2-C2, CARRIER3-C2, CARRIER4-C2, CARRIER5-C2, CARRIER6-C2",6,FH (Guangdong Fenghua Advanced Tech),0603B684K160NT,Unpolarized capacitor,0603,680nF,C24797,
7,BACKPLANE1-C13,1,FH (Guangdong Fenghua Advanced Tech),0603CG560J500NT,,0603,56pF 50V C0G,C1676,
8,"CARRIER1-Q1, CARRIER2-Q1, CARRIER3-Q1, CARRIER4-Q1, CARRIER5-Q1, CARRIER6-Q1",6,Infineon,IPB020N10N5LF,"N-MOSFET transistor, gate/drain/source",TO-263-3_TabPin2,IPB020N10N5LF,C536484,
9,BACKPLANE1-RSH1,1,Milliohm,HoLSX2512-6W-1mR-1%,,2512,1mR 1% 6W,C19270875,
10,"BACKPLANE1-Q2, BACKPLANE1-Q4",2,Nexperia,2N7002,"0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23",SOT-23,2N7002,C8545,
11,"BACKPLANE1-D1, CARRIER1-D2, CARRIER2-D2, CARRIER3-D2, CARRIER4-D2, CARRIER5-D2, CARRIER6-D2",7,Nexperia,PESD2CANFD27V-TR,"Dual-line shunt TVS/ESD protector, signal pins 1/2 and common ground pin 3",SOT-23,PESD2CANFD27V-TR,C552488,
12,"CARRIER1-Q2, CARRIER1-Q3, CARRIER2-Q2, CARRIER2-Q3, CARRIER3-Q2, CARRIER3-Q3, CARRIER4-Q2, CARRIER4-Q3, CARRIER5-Q2, CARRIER5-Q3, CARRIER6-Q2, CARRIER6-Q3",12,Not specified in released BOM,2N7002,"0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23",SOT-23,2N7002,C8545,Use exact released LCSC part C8545; confirm manufacturer and do not substitute without approval.
13,"CARRIER1-R1, CARRIER2-R1, CARRIER3-R1, CARRIER4-R1, CARRIER5-R1, CARRIER6-R1",6,Not specified in released BOM,HoLLR2512-3W-6mR-1%,Resistor,2512,6mR 1% 3W,C2985709,Use exact released LCSC part C2985709; confirm manufacturer and do not substitute without approval.
14,"CARRIER1-L1, CARRIER2-L1, CARRIER3-L1, CARRIER4-L1, CARRIER5-L1, CARRIER6-L1",6,PROD Tech,PSPMAA0805-101M-ANP,"100uH 20%, Irms 2.5A, Isat 3A, DCR 272mOhm typical, shielded power inductor",L_PRODTech_PSPMAA0805,100uH,C2962892,
15,"BACKPLANE1-L1, BACKPLANE1-L2",2,PROD Tech,PSPMAA0805-101M-ANP,Inductor,L_PRODTech_PSPMAA0805,100uH,C2962892,
16,"BACKPLANE1-U1, CARRIER1-U1, CARRIER2-U1, CARRIER3-U1, CARRIER4-U1, CARRIER5-U1, CARRIER6-U1",7,STMicroelectronics,STM32C092GCU6,"STMicroelectronics Arm Cortex-M0+ MCU, 256KB flash, 30KB RAM, 48 MHz, 2.0-3.6V, FDCAN, 26 GPIO, UFQFPN28",QFN-28_4x4mm_P0.5mm,STM32C092GCU6,C44847705,
17,BACKPLANE1-C18,1,Samsung Electro-Mechanics,CL10A475KO8NNNC,,0603,4.7uF,C19666,
18,"CARRIER1-C13, CARRIER2-C13, CARRIER3-C13, CARRIER4-C13, CARRIER5-C13, CARRIER6-C13",6,Samsung Electro-Mechanics,CL10A475KO8NNNC,Unpolarized capacitor,0603,4.7uF,C19666,
19,"BACKPLANE1-C10, BACKPLANE1-C11, BACKPLANE1-C14, BACKPLANE1-C4",4,Samsung Electro-Mechanics,CL21A226MAQNNNE,,0805,22uF 25V,C45783,
20,"CARRIER1-C8, CARRIER2-C8, CARRIER3-C8, CARRIER4-C8, CARRIER5-C8, CARRIER6-C8",6,Samsung Electro-Mechanics,CL21A226MAQNNNE,Unpolarized capacitor,0805,22uF 25V,C45783,
21,"CARRIER1-C1, CARRIER2-C1, CARRIER3-C1, CARRIER4-C1, CARRIER5-C1, CARRIER6-C1",6,Samsung Electro-Mechanics,CL31B105KCHNNNE,Unpolarized capacitor,1206,1uF 100V,C13832,
22,"BACKPLANE1-C1, BACKPLANE1-C2, BACKPLANE1-C7, BACKPLANE1-C8",4,Samsung Electro-Mechanics,CL32B225KCJSNNE,,1210,2.2uF 100V,C55151,
23,"CARRIER1-C3, CARRIER1-C4, CARRIER2-C3, CARRIER2-C4, CARRIER3-C3, CARRIER3-C4, CARRIER4-C3, CARRIER4-C4, CARRIER5-C3, CARRIER5-C4, CARRIER6-C3, CARRIER6-C4",12,Samsung Electro-Mechanics,CL32B225KCJSNNE,Unpolarized capacitor,1210,2.2uF 100V,C55151,
24,"BACKPLANE1-L3, CARRIER1-L3, CARRIER2-L3, CARRIER3-L3, CARRIER4-L3, CARRIER5-L3, CARRIER6-L3",7,TDK,ACT1210D-101-2P-TL00,"ACT1210D CAN common-mode choke; winding A 1-4, winding B 2-3",L_CommonModeChoke_TDK_ACT1210D,ACT1210D-101-2P-TL00,C3039743,
25,BACKPLANE1-U4,1,Texas Instruments,INA237AIDGSR,"High-Side or Low-Side Measurement, Bi-Directional Current and Power Monitor (0-85V) with I2C, SMBus-, and PMBus-Compatible Interface, TSSOP-10 (Texas DGS0010A / VSSOP)",MSOP-10_3x3mm_P0.5mm_0.20mm_Clearance,INA237AIDGSR,C2864837,
26,"CARRIER1-U4, CARRIER2-U4, CARRIER3-U4, CARRIER4-U4, CARRIER5-U4, CARRIER6-U4",6,Texas Instruments,INA237AIDGSR,"High-Side or Low-Side Measurement, Bi-Directional Current and Power Monitor (0-85V) with I2C, SMBus-, and PMBus-Compatible Interface, TSSOP-10 (Texas DGS0010A / VSSOP)",TSSOP-10_3x3mm_P0.5mm,INA237AIDGSR,C2864837,
27,"BACKPLANE1-U2, BACKPLANE1-U3",2,Texas Instruments,LM5164DDAR,"100-V, 1-A synchronous buck converter with programmable on-time, PowerPAD SO-8 (DDA)",TI_SO-PowerPAD-8,LM5164DDAR,C477928,
28,"CARRIER1-U2, CARRIER2-U2, CARRIER3-U2, CARRIER4-U2, CARRIER5-U2, CARRIER6-U2",6,Texas Instruments,LM5164DDAR,"1A synchronous buck converter, 6V to 100V input, SO PowerPAD-8",TI_SO-PowerPAD-8,LM5164DDAR,C477928,
29,"BACKPLANE1-U5, CARRIER1-U5, CARRIER2-U5, CARRIER3-U5, CARRIER4-U5, CARRIER5-U5, CARRIER6-U5",7,Texas Instruments,TCAN3413DR,"3.3 V CAN FD transceiver with VIO and standby, SOIC-8",SOIC-8_3.9x4.9mm_P1.27mm,TCAN3413DR,C22433320,
30,"CARRIER1-R2, CARRIER2-R2, CARRIER3-R2, CARRIER4-R2, CARRIER5-R2, CARRIER6-R2",6,UNI-ROYAL (Uniroyal Elec),0603WAF1000T5E,Resistor,0603,100R,C22775,
31,"CARRIER1-R32, CARRIER2-R32, CARRIER3-R32, CARRIER4-R32, CARRIER5-R32, CARRIER6-R32",6,UNI-ROYAL (Uniroyal Elec),0603WAF1000T5E,Series damping resistor for WS2812B data input,0603,100R,C22775,
32,"BACKPLANE1-R10, BACKPLANE1-R15, BACKPLANE1-R20, BACKPLANE1-R23",4,UNI-ROYAL (Uniroyal Elec),0603WAF1002T5E,,0603,10k,C25804,
33,"CARRIER1-R11, CARRIER1-R16, CARRIER1-R19, CARRIER1-R28, CARRIER1-R30, CARRIER2-R11, CARRIER2-R16, CARRIER2-R19, CARRIER2-R28, CARRIER2-R30, CARRIER3-R11, CARRIER3-R16, CARRIER3-R19, CARRIER3-R28, CARRIER3-R30, CARRIER4-R11, CARRIER4-R16, CARRIER4-R19, CARRIER4-R28, CARRIER4-R30, CARRIER5-R11, CARRIER5-R16, CARRIER5-R19, CARRIER5-R28, CARRIER5-R30, CARRIER6-R11, CARRIER6-R16, CARRIER6-R19, CARRIER6-R28, CARRIER6-R30",30,UNI-ROYAL (Uniroyal Elec),0603WAF1002T5E,Resistor,0603,10k,C25804,
34,"BACKPLANE1-R18, BACKPLANE1-R19, BACKPLANE1-R21, BACKPLANE1-R22, BACKPLANE1-R6",5,UNI-ROYAL (Uniroyal Elec),0603WAF1003T5E,,0603,100k 1%,C25803,
35,"CARRIER1-R10, CARRIER1-R31, CARRIER2-R10, CARRIER2-R31, CARRIER3-R10, CARRIER3-R31, CARRIER4-R10, CARRIER4-R31, CARRIER5-R10, CARRIER5-R31, CARRIER6-R10, CARRIER6-R31",12,UNI-ROYAL (Uniroyal Elec),0603WAF1003T5E,Resistor,0603,100k,C25803,
36,"BACKPLANE1-R11, BACKPLANE1-R12",2,UNI-ROYAL (Uniroyal Elec),0603WAF100JT5E,,0603,10R,C22859,
37,"CARRIER1-R17, CARRIER1-R18, CARRIER2-R17, CARRIER2-R18, CARRIER3-R17, CARRIER3-R18, CARRIER4-R17, CARRIER4-R18, CARRIER5-R17, CARRIER5-R18, CARRIER6-R17, CARRIER6-R18",12,UNI-ROYAL (Uniroyal Elec),0603WAF100JT5E,Resistor,0603,10R,C22859,
38,"BACKPLANE1-R2, BACKPLANE1-R4",2,UNI-ROYAL (Uniroyal Elec),0603WAF1103T5E,,0603,110k 1%,C25805,
39,"CARRIER1-R13, CARRIER1-R15, CARRIER1-R4, CARRIER1-R6, CARRIER1-R8, CARRIER2-R13, CARRIER2-R15, CARRIER2-R4, CARRIER2-R6, CARRIER2-R8, CARRIER3-R13, CARRIER3-R15, CARRIER3-R4, CARRIER3-R6, CARRIER3-R8, CARRIER4-R13, CARRIER4-R15, CARRIER4-R4, CARRIER4-R6, CARRIER4-R8, CARRIER5-R13, CARRIER5-R15, CARRIER5-R4, CARRIER5-R6, CARRIER5-R8, CARRIER6-R13, CARRIER6-R15, CARRIER6-R4, CARRIER6-R6, CARRIER6-R8",30,UNI-ROYAL (Uniroyal Elec),0603WAF1103T5E,Resistor,0603,110k 1%,C25805,
40,"BACKPLANE1-R17, CARRIER1-R26, CARRIER2-R26, CARRIER3-R26, CARRIER4-R26, CARRIER5-R26, CARRIER6-R26",7,UNI-ROYAL (Uniroyal Elec),0603WAF1200T5E,,0603,120R 1%,C22787,
41,"CARRIER1-R5, CARRIER2-R5, CARRIER3-R5, CARRIER4-R5, CARRIER5-R5, CARRIER6-R5",6,UNI-ROYAL (Uniroyal Elec),0603WAF1802T5E,Resistor,0603,18k 1%,C25810,
42,"BACKPLANE1-R13, BACKPLANE1-R14",2,UNI-ROYAL (Uniroyal Elec),0603WAF2201T5E,,0603,2.2k,C4190,
43,"CARRIER1-R24, CARRIER1-R25, CARRIER2-R24, CARRIER2-R25, CARRIER3-R24, CARRIER3-R25, CARRIER4-R24, CARRIER4-R25, CARRIER5-R24, CARRIER5-R25, CARRIER6-R24, CARRIER6-R25",12,UNI-ROYAL (Uniroyal Elec),0603WAF2201T5E,Resistor,0603,2.2k,C4190,
44,BACKPLANE1-R1,1,UNI-ROYAL (Uniroyal Elec),0603WAF2702T5E,,0603,27k 1%,C22967,
45,"CARRIER1-R12, CARRIER2-R12, CARRIER3-R12, CARRIER4-R12, CARRIER5-R12, CARRIER6-R12",6,UNI-ROYAL (Uniroyal Elec),0603WAF2702T5E,Resistor,0603,27k 1%,C22967,
46,"CARRIER1-R3, CARRIER1-R9, CARRIER2-R3, CARRIER2-R9, CARRIER3-R3, CARRIER3-R9, CARRIER4-R3, CARRIER4-R9, CARRIER5-R3, CARRIER5-R9, CARRIER6-R3, CARRIER6-R9",12,UNI-ROYAL (Uniroyal Elec),0603WAF3602T5E,Resistor,0603,36k 1%,C23147,
47,"BACKPLANE1-R7, BACKPLANE1-R9",2,UNI-ROYAL (Uniroyal Elec),0603WAF4533T5E,,0603,453k 1%,C25818,
48,BACKPLANE1-R24,1,UNI-ROYAL (Uniroyal Elec),0603WAF4701T5E,,0603,4.7k 1%,C23162,
49,BACKPLANE1-R8,1,UNI-ROYAL (Uniroyal Elec),0603WAF4992T5E,,0603,49.9k 1%,C23184,
50,"CARRIER1-R7, CARRIER2-R7, CARRIER3-R7, CARRIER4-R7, CARRIER5-R7, CARRIER6-R7",6,UNI-ROYAL (Uniroyal Elec),0603WAF5101T5E,Resistor,0603,5.1k 1%,C23186,
51,BACKPLANE1-R3,1,UNI-ROYAL (Uniroyal Elec),0603WAF6202T5E,,0603,62k 1%,C23221,
52,"CARRIER1-R14, CARRIER2-R14, CARRIER3-R14, CARRIER4-R14, CARRIER5-R14, CARRIER6-R14",6,UNI-ROYAL (Uniroyal Elec),0603WAF6202T5E,Resistor,0603,62k 1%,C23221,
