Designator,Mid X,Mid Y,Rotation,Layer
BACKPLANE1-C1,40.730000,-170.865000,0.000000,bottom
BACKPLANE1-C10,41.580000,-104.615000,0.000000,bottom
BACKPLANE1-C11,41.580000,-102.405000,0.000000,bottom
BACKPLANE1-C12,36.275000,-118.090000,90.000000,bottom
BACKPLANE1-C13,39.413333,-118.090000,-90.000000,bottom
BACKPLANE1-C14,41.550000,-140.405000,0.000000,bottom
BACKPLANE1-C15,37.554645,-177.430651,90.000000,bottom
BACKPLANE1-C16,40.196952,-179.975583,180.000000,bottom
BACKPLANE1-C17,23.025000,-71.425338,-90.000000,bottom
BACKPLANE1-C18,21.422704,-71.425338,-90.000000,bottom
BACKPLANE1-C19,22.177704,-73.755338,0.000000,bottom
BACKPLANE1-C2,40.730000,-167.605000,0.000000,bottom
BACKPLANE1-C20,20.358851,-173.494014,-90.000000,bottom
BACKPLANE1-C21,17.638676,-85.880397,0.000000,bottom
BACKPLANE1-C3,41.770000,-156.943750,0.000000,bottom
BACKPLANE1-C4,41.550000,-142.615000,0.000000,bottom
BACKPLANE1-C5,36.275000,-156.090000,90.000000,bottom
BACKPLANE1-C6,39.413333,-156.090000,-90.000000,bottom
BACKPLANE1-C7,40.730000,-132.865000,0.000000,bottom
BACKPLANE1-C8,40.730000,-129.605000,0.000000,bottom
BACKPLANE1-C9,41.770000,-118.943750,0.000000,bottom
BACKPLANE1-D1,17.912989,-179.099614,90.000000,bottom
BACKPLANE1-J8,29.930000,-190.035000,0.000000,bottom
BACKPLANE1-L1,39.000000,-149.035000,90.000000,bottom
BACKPLANE1-L2,39.000000,-111.035000,90.000000,bottom
BACKPLANE1-L3,17.912989,-174.214014,-90.000000,bottom
BACKPLANE1-LED1,17.408676,-83.408984,-90.000000,bottom
BACKPLANE1-Q1,22.460000,-52.367500,90.000000,bottom
BACKPLANE1-Q2,26.130000,-53.305000,180.000000,bottom
BACKPLANE1-Q3,34.360000,-52.367500,90.000000,bottom
BACKPLANE1-Q4,38.050000,-53.305000,180.000000,bottom
BACKPLANE1-R1,36.740000,-164.337500,90.000000,bottom
BACKPLANE1-R10,41.360000,-100.475000,0.000000,bottom
BACKPLANE1-R11,37.554645,-180.489487,90.000000,bottom
BACKPLANE1-R12,37.554645,-174.371816,-90.000000,bottom
BACKPLANE1-R13,39.256790,-183.548322,-90.000000,bottom
BACKPLANE1-R14,40.908934,-183.548322,-90.000000,bottom
BACKPLANE1-R15,37.554645,-183.548322,-90.000000,bottom
BACKPLANE1-R17,20.431320,-61.983122,0.000000,bottom
BACKPLANE1-R18,22.460000,-55.175000,0.000000,bottom
BACKPLANE1-R19,28.937500,-53.305000,-90.000000,bottom
BACKPLANE1-R2,37.844167,-156.090000,-90.000000,bottom
BACKPLANE1-R20,22.275000,-67.853857,180.000000,bottom
BACKPLANE1-R21,34.360000,-55.245000,0.000000,bottom
BACKPLANE1-R22,41.010000,-53.185000,-90.000000,bottom
BACKPLANE1-R23,22.275000,-65.791889,180.000000,bottom
BACKPLANE1-R24,17.670000,-54.550000,90.000000,bottom
BACKPLANE1-R3,36.740000,-159.297500,-90.000000,bottom
BACKPLANE1-R4,41.770000,-155.340000,180.000000,bottom
BACKPLANE1-R6,36.740000,-126.337500,90.000000,bottom
BACKPLANE1-R7,37.844167,-118.090000,-90.000000,bottom
BACKPLANE1-R8,36.740000,-121.297500,-90.000000,bottom
BACKPLANE1-R9,41.770000,-117.340000,180.000000,bottom
BACKPLANE1-RSH1,33.250000,-177.522500,90.000000,bottom
BACKPLANE1-U1,17.221176,-72.130273,180.000000,bottom
BACKPLANE1-U2,40.385000,-161.817500,90.000000,bottom
BACKPLANE1-U3,40.385000,-123.817500,90.000000,bottom
BACKPLANE1-U4,40.153231,-176.004001,-90.000000,bottom
BACKPLANE1-U5,17.987989,-168.078966,-90.000000,bottom
CARRIER1-C1,74.555000,-32.110000,180.000000,top
CARRIER1-C10,78.760000,-25.630000,-90.000000,top
CARRIER1-C11,148.480000,-18.630000,180.000000,top
CARRIER1-C12,147.730000,-16.220000,-90.000000,top
CARRIER1-C13,149.430000,-16.220000,-90.000000,top
CARRIER1-C14,147.940000,-38.895000,-90.000000,top
CARRIER1-C15,80.265000,-17.715000,-90.000000,top
CARRIER1-C16,73.520000,-14.160000,0.000000,top
CARRIER1-C17,147.165000,-31.190000,180.000000,top
CARRIER1-C18,81.400000,-21.980000,0.000000,top
CARRIER1-C2,74.500000,-38.215000,90.000000,top
CARRIER1-C3,88.620000,-24.780000,180.000000,top
CARRIER1-C4,88.620000,-21.520000,180.000000,top
CARRIER1-C5,92.490000,-17.175000,180.000000,top
CARRIER1-C6,95.570000,-15.600000,0.000000,top
CARRIER1-C7,95.570000,-17.175000,0.000000,top
CARRIER1-C8,92.270000,-13.035000,-90.000000,top
CARRIER1-C9,82.471766,-20.323054,0.000000,top
CARRIER1-D1,70.690000,-25.990000,-90.000000,top
CARRIER1-D2,66.372500,-32.180000,0.000000,top
CARRIER1-L1,85.966766,-15.266882,180.000000,top
CARRIER1-L3,69.210000,-17.857500,0.000000,top
CARRIER1-LED1,151.390000,-20.260000,-90.000000,top
CARRIER1-Q1,85.780000,-33.785000,90.000000,top
CARRIER1-Q2,70.017500,-37.210000,90.000000,top
CARRIER1-Q3,70.017500,-42.530000,180.000000,top
CARRIER1-R1,76.030000,-25.577500,-90.000000,top
CARRIER1-R10,72.915000,-42.530000,90.000000,top
CARRIER1-R11,147.165000,-25.510000,180.000000,top
CARRIER1-R12,97.900000,-24.620000,90.000000,top
CARRIER1-R13,97.900000,-16.350000,-90.000000,top
CARRIER1-R14,97.900000,-19.580000,-90.000000,top
CARRIER1-R15,92.490000,-15.600000,0.000000,top
CARRIER1-R16,96.345000,-13.035000,90.000000,top
CARRIER1-R17,78.760000,-22.445000,90.000000,top
CARRIER1-R18,78.760000,-28.835000,90.000000,top
CARRIER1-R19,84.500000,-21.980000,0.000000,top
CARRIER1-R2,78.390000,-42.530000,-90.000000,top
CARRIER1-R24,147.165000,-27.480000,180.000000,top
CARRIER1-R25,147.165000,-23.540000,180.000000,top
CARRIER1-R26,67.120000,-14.450000,-90.000000,top
CARRIER1-R28,151.130000,-16.220000,-90.000000,top
CARRIER1-R3,76.650000,-42.530000,-90.000000,top
